query_id,token_f1,rouge_l,groundedness,context_utilisation,keyword_coverage,abstained,bert_f1,recall,ndcg,gold_density,mrr,hit@1,n_chunks,tokens,budget_fill
EXAM_001,0.16949152542372883,0.16949152542372883,0.9047619047619048,0.0,0.2857142857142857,False,0.8535717725753784,1.0,0.413579661665858,0.07407407407407407,1.0,1.0,3,1500,1.0
EXAM_002,0.28571428571428575,0.2285714285714286,0.7272727272727273,0.0,0.14285714285714285,False,0.8760032653808594,1.0,0.53350083705442,0.07407407407407407,1.0,1.0,3,1500,1.0
EXAM_003,0.2,0.18,0.5764705882352941,0.0,0.2,False,0.849088191986084,1.0,0.38685280723454163,0.05248241838983941,1.0,1.0,3,1361,0.9073333333333333
EXAM_004,0.1935483870967742,0.12903225806451615,0.8780487804878049,0.3333333333333333,0.42857142857142855,False,0.8515642285346985,1.0,0.3010299956639812,0.05248241838983941,0.5,0.0,3,1361,0.9073333333333333
EXAM_005,0.4615384615384615,0.43076923076923085,0.8048780487804879,0.3333333333333333,0.6666666666666666,False,0.8551511168479919,1.0,0.6309297535714574,0.05248241838983941,1.0,1.0,3,1361,0.9073333333333333
EXAM_006,0.1889763779527559,0.12598425196850394,0.8289473684210527,0.6666666666666666,0.4,False,0.8197100758552551,1.0,0.4876110179495151,0.1142857142857143,1.0,1.0,3,1500,1.0
EXAM_007,0.01923076923076923,0.01923076923076923,0.9508196721311475,0.3333333333333333,0.0,False,0.7676292657852173,1.0,0.5,0.07347538574577517,1.0,1.0,3,1361,0.9073333333333333
EXAM_008,0.3116883116883117,0.25974025974025977,0.75,0.3333333333333333,0.42857142857142855,False,0.8599673509597778,1.0,0.5,0.06666666666666667,1.0,1.0,3,1500,1.0
EXAM_009,0.23809523809523805,0.1746031746031746,0.9139784946236559,1.0,0.3333333333333333,False,0.8448864221572876,1.0,0.4306765580733931,0.04761904761904762,1.0,1.0,3,1500,1.0
EXAM_010,0.10218978102189781,0.072992700729927,0.6581196581196581,1.0,0.42857142857142855,False,0.8520764112472534,1.0,0.814390483993232,0.125,1.0,1.0,3,1487,0.9913333333333333
EXAM_011,0.273972602739726,0.1917808219178082,0.8979591836734694,0.6666666666666666,0.4,False,0.8491777777671814,1.0,0.27023815442731974,0.041666666666666664,0.5,0.0,3,1500,1.0
EXAM_013,0.2764227642276423,0.1788617886178862,0.7065217391304348,0.3333333333333333,0.6666666666666666,False,0.8576257824897766,1.0,0.5,0.04203093476798924,1.0,1.0,3,1487,0.9913333333333333
EXAM_014,0.14473684210526314,0.11842105263157893,0.6611570247933884,0.0,0.3333333333333333,False,0.8148089051246643,0.0,0.0,0.0,0.0,0.0,2,1000,0.6666666666666666
EXAM_015,0.24489795918367346,0.24489795918367346,0.7428571428571429,0.0,0.0,False,0.8511882424354553,1.0,0.3154648767857287,0.04761904761904762,0.5,0.0,3,1500,1.0
EXAM_016,0.19580419580419578,0.15384615384615385,0.875,0.6666666666666666,0.5714285714285714,False,0.8462302684783936,0.5,0.11731968150568911,0.03333333333333333,0.3333333333333333,0.0,3,1500,1.0
EXAM_017,0.30344827586206896,0.2206896551724138,0.9411764705882353,1.0,0.2857142857142857,False,0.8548782467842102,1.0,0.3302949769810652,0.075,1.0,1.0,3,1500,1.0
EXAM_018,0.14906832298136646,0.11180124223602485,0.7404580152671756,1.0,0.14285714285714285,False,0.8366026878356934,0.5,0.272312688806029,0.04761904761904762,1.0,1.0,3,1500,1.0
EXAM_019,0.09230769230769231,0.09230769230769231,0.7111111111111111,0.3333333333333333,0.14285714285714285,False,0.8351534008979797,0.5,0.23463936301137822,0.06490134994807892,1.0,1.0,3,1284,0.856
EXAM_020,0.0,0.0,1.0,0.0,0.0,False,0.7298707962036133,0.5,0.23463936301137822,0.05592841163310962,1.0,1.0,3,1490,0.9933333333333333
EXAM_021,0.17931034482758623,0.15172413793103445,0.9741379310344828,0.6666666666666666,0.4,False,0.8374416828155518,1.0,0.3154648767857287,0.03333333333333333,1.0,1.0,3,1500,1.0
EXAM_022,0.41379310344827586,0.3448275862068966,0.7692307692307693,0.0,0.2857142857142857,False,0.8901441097259521,1.0,0.8854598815714874,0.07407407407407407,1.0,1.0,3,1500,1.0
EXAM_023,0.28571428571428575,0.2571428571428571,0.625,0.0,0.14285714285714285,False,0.8404256105422974,1.0,0.3207976416543607,0.07427213309566251,0.5,0.0,3,1496,0.9973333333333333
EXAM_024,0.19354838709677416,0.19354838709677416,0.85,0.6666666666666666,0.6,False,0.8378101587295532,1.0,0.38685280723454163,0.04761904761904762,1.0,1.0,3,1500,1.0
EXAM_025,0.11267605633802816,0.11267605633802816,0.85,0.0,0.3333333333333333,False,0.8332474231719971,1.0,0.3562071871080222,0.04761904761904762,1.0,1.0,3,1500,1.0
EXAM_026,0.3047619047619048,0.2095238095238095,0.6962025316455697,0.3333333333333333,0.3333333333333333,False,0.8485587239265442,1.0,0.3333333333333333,0.05248241838983941,1.0,1.0,3,1361,0.9073333333333333
EXAM_027,0.0588235294117647,0.0588235294117647,0.3333333333333333,0.0,0.0,False,0.7726806998252869,0.0,0.0,0.0,0.0,0.0,3,1500,1.0
EXAM_028,0.05714285714285714,0.05714285714285714,0.3333333333333333,0.0,0.0,False,0.7667065262794495,0.0,0.0,0.0,0.0,0.0,3,1500,1.0
EXAM_029,0.3488372093023256,0.3255813953488372,0.576271186440678,0.0,0.8333333333333334,False,0.8646812438964844,1.0,0.5,0.06666666666666667,1.0,1.0,3,1500,1.0
EXAM_030,0.145985401459854,0.10218978102189781,0.7047619047619048,1.0,0.2,False,0.7744682431221008,0.5,0.23463936301137822,0.05555555555555555,1.0,1.0,3,1500,1.0
